trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
95,False,"{'a': 0.5, 'e': 0.0076514281153818135}",35,23,23.47362163340794,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.0072688567096127225}",25,5,31.116127779053745,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.5, 'e': 0.006905413874132086}",25,14,18.671474574756985,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.006560143180425482}",20,0,30.736731248018412,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.0062321360214042075}",20,12,16.31518638541777,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.005920529220333997}",25,17,17.313906921192917,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.0056245027593172965}",20,0,31.032669948753576,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
102,False,"{'a': 0.5, 'e': 0.005343277621351432}",20,16,8.353154366943347,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.0050761137402838595}",20,6,27.780755346309398,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.004822308053269666}",20,3,26.9803813823175,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.004581192650606183}",25,11,27.019025381590062,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.0043521330180758735}",20,8,20.833113741266324,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.0041345263671720795}",20,11,15.818773342646539,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.5, 'e': 0.003927800048813475}",30,7,41.6092927737911,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.0037314100463728015}",20,5,27.525506100914033,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.0035448395440541612}",25,7,30.79034087194801,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.003367597566851453}",25,14,19.351624621778445,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.00319921768850888}",25,3,39.11781987486243,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.003039256804083436}",25,12,20.112984931619852,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.0028872939638792637}",20,6,20.660415893278675,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.5, 'e': 0.0027429292656853004}",20,16,5.31321752041842,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.0026057828024010354}",20,10,15.15105721600806,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.5, 'e': 0.0024754936622809836}",20,4,28.108054685750016,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.002351718979166934}",25,12,24.728816644899943,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'a': 0.5, 'e': 0.0022341330302085875}",20,8,12.512971265400864,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.002122426378698158}",25,12,23.22439629332372,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.0020163050597632503}",20,15,8.47381339187316,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.0019154898067750877}",25,13,21.21582064924563,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.0018197153164363333}",25,7,27.49281984431553,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.0017287295506145165}",20,16,8.706512791623066,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.0016422930730837905}",20,7,18.947609555694555,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.0015601784194296008}",25,11,26.961354272943677,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.0014821694984581207}",20,12,16.955005168184144,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.0014080610235352145}",25,11,29.020941849039552,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.0013376579723584536}",25,3,37.49275773522748,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.0012707750737405309}",35,18,35.01356765838557,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.5, 'e': 0.0012072363200535043}",25,13,20.374507350101823,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.001146874504050829}",25,18,12.588450123871338,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.0010895307788482875}",25,11,25.37898514651772,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.001035054239905873}",20,9,-3.4923479625069604,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.0009833015279105794}",20,13,13.251126019730329,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,0,38.801210787356176,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,14,9.923796237481847,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,10,25.706168526174025,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,20,19.797942690065113,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,4,25.514864032638542,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,14,29.608716849896435,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,8,21.713209538875685,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,6,27.61639667427996,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,3,27.95357752346888,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,17,13.186695836398162,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
